title:Cortex_data, start timestamp:1586024893.723758, stop timestamp:1586025073.725302, headset type:INSIGHT, headset serial:5A687D62, headset firmware:925, subject name:hsestudent, channels:31, sampling rate:0.1, samples:357       , version:2.0
Timestamp,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1586024924.629538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024925.133570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024925.637700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024926.141830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024926.646459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024927.151386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024927.655611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024928.159527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024928.663945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024929.168259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024929.672166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024930.176674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024930.681086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024931.186195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024931.690302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024932.194203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024932.698606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024933.203206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024933.707406,0,0.375090,0.579235,-0.458394,1.243448,0,0.181049,1.709135,-0.579083,7.462318,0.176580,0,0.225979,-0.098881,-0.255663,0.137670,0,0.292656,0.114163,-0.524947,0.829308,0,0.394520,15.960453,-32.827161,44.983815,0,0.249462,0.321027,0.267480,0.416056
1586024934.211605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024934.716097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024935.220693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024935.724685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024936.228978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024936.733670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024937.238261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024937.742548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024938.246634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024938.751121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024939.255304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024939.759688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024940.263770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024940.770901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024941.271548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024941.772202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024942.272958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024942.773613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024943.274274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
